Version,Description
0.20.1-0.20.2,"We added TLDRs to make it easier to sort through the bugs flagged by the AI review and fixed a bug with ""Diff with Main."""
0.20.0,"Copilot++, @ previews, AI Review"
0.19.1,Interpreter Mode Windows Bug
0.19.0,Copilot++ Improvements
0.18.2,Lowercase @ Folders Fix
0.18.0,"Better Context Chat, Faster Copilot++"
0.17.0,"Image Support, Interpreter Mode Beta, @ Folders"
0.14.1,Indexing fixes
0.14.0,"Pro++, Word-wrapping diffs, and more"
0.12.0,"Indexing, cmd-k in terminal, @git, /edit, bugfixes"
0.11.0,Inline Chat
0.10.4,Fixed builtin cursor-python defaults
0.10.0,"Better Docs Management, Staged Rollouts"
0.9.5,Hotfix for indexing
0.9.4,Hotfix Cmd-K unexpectedly outputting backticks
0.9.3,Hotfix Github Auth
0.9.2,Hotfix large persisted state
0.9.0,"Auditable codebase context, VS Code left bar"
0.8.6,Email in settings
0.8.5,Advanced Button
0.8.3,Codebase indexing controls
0.8.2,"Cmd-k Followups, chat with large files, and more"
0.7.3,Patch cursor command on Windows
0.7.0,In-editor chat
0.5.1,Performance hotfix
0.5.0,Enterprise subscription support & misc fixes
0.4.0,"""with codebase"" for all codebases!"
0.3.1,Jupyter CMD-k Context Building
0.3.0,SSH and WSL fixes
0.2.49,Advanced context for codebase-wide chat
0.2.48,infinite chat loop hotfix
0.2.47,Patch for WSL/SSH (Search and Extensions)
0.2.46,Patch for Cmd-k Generates
0.2.45,ARM Windows Cmd-Shift-F
0.2.44,"Improvements to many features, Fixes to Python"
0.2.43,Fix for Cmd+K
0.2.42,Fix for Cmd+Shift+F (Mac ARM)
0.2.41,"Hotfix for ""with codebase"""
0.2.40,Release for Linux
0.2.39,New inline edits
0.2.35,Hotfix for Chat
0.2.33,Azure Support
0.2.32,Small improvements
0.2.31,Hotfix for chat focus
0.2.30,Show the AI documentation
